,PassengerId,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck
0,0001_01,0.0,0.0,0.0,0.0,0.0
1,0002_01,109.0,9.0,25.0,549.0,44.0
2,0003_01,43.0,3576.0,0.0,6715.0,49.0
3,0003_02,0.0,1283.0,371.0,3329.0,193.0
4,0004_01,303.0,70.0,151.0,565.0,2.0
5,0005_01,0.0,483.0,0.0,291.0,0.0
6,0006_01,42.0,1539.0,3.0,0.0,0.0
7,0006_02,0.0,0.0,0.0,0.0,
8,0007_01,0.0,785.0,17.0,216.0,0.0
9,0008_01,0.0,0.0,0.0,0.0,0.0
10,0008_02,0.0,0.0,,0.0,0.0
11,0008_03,39.0,7295.0,589.0,110.0,124.0
12,0009_01,73.0,0.0,1123.0,0.0,113.0
13,0010_01,719.0,1.0,65.0,0.0,24.0
14,0011_01,8.0,974.0,12.0,2.0,7.0
15,0012_01,32.0,0.0,876.0,0.0,0.0
16,0014_01,1286.0,122.0,,0.0,0.0
17,0015_01,0.0,1.0,0.0,0.0,637.0
18,0016_01,0.0,0.0,0.0,0.0,0.0
19,0017_01,0.0,0.0,0.0,0.0,0.0
20,0017_02,412.0,0.0,1.0,0.0,679.0
21,0020_01,0.0,0.0,0.0,0.0,0.0
22,0020_02,0.0,0.0,0.0,0.0,0.0
23,0020_03,0.0,0.0,,0.0,0.0
24,0020_04,0.0,0.0,0.0,0.0,0.0
25,0020_05,,0.0,0.0,0.0,0.0
26,0020_06,0.0,0.0,0.0,0.0,0.0
27,0022_01,980.0,2.0,69.0,0.0,0.0
28,0024_01,0.0,0.0,,0.0,0.0
29,0025_01,0.0,225.0,0.0,998.0,0.0
30,0026_01,22.0,6073.0,0.0,1438.0,328.0
31,0028_01,1125.0,0.0,136.0,48.0,0.0
32,0030_01,0.0,850.0,81.0,437.0,453.0
33,0031_01,214.0,0.0,1411.0,0.0,1229.0
34,0031_02,0.0,0.0,0.0,0.0,0.0
35,0031_03,,0.0,1750.0,990.0,0.0
36,0034_01,0.0,0.0,0.0,0.0,0.0
37,0035_01,784.0,964.0,0.0,951.0,0.0
38,0036_01,0.0,492.0,48.0,20.0,401.0
39,0038_01,554.0,195.0,0.0,2606.0,0.0
40,0039_01,0.0,0.0,,0.0,0.0
41,0041_01,0.0,0.0,0.0,0.0,0.0
42,0043_01,0.0,164.0,45.0,2511.0,855.0
43,0044_01,0.0,0.0,0.0,0.0,0.0
44,0044_02,0.0,0.0,0.0,0.0,0.0
45,0044_03,0.0,0.0,0.0,0.0,0.0
46,0045_01,970.0,0.0,180.0,0.0,64.0
47,0045_02,0.0,0.0,0.0,0.0,0.0
48,0050_01,790.0,0.0,0.0,,0.0
49,0051_01,0.0,112.0,0.0,1379.0,127.0
50,0052_01,4.0,0.0,2.0,4683.0,0.0
51,0053_01,0.0,0.0,1938.0,0.0,1.0
52,0056_01,0.0,0.0,0.0,0.0,0.0
53,0056_02,0.0,0.0,0.0,0.0,0.0
54,0056_03,279.0,605.0,3374.0,286.0,3.0
55,0058_01,0.0,0.0,0.0,0.0,0.0
56,0061_01,45.0,1096.0,148.0,1377.0,1.0
57,0062_01,0.0,592.0,0.0,17.0,25.0
58,0064_01,0.0,0.0,0.0,0.0,0.0
59,0064_02,0.0,0.0,,0.0,0.0
60,0066_01,1.0,153.0,197.0,0.0,460.0
61,0067_01,0.0,0.0,0.0,0.0,0.0
62,0067_02,1.0,258.0,446.0,0.0,0.0
63,0067_03,1946.0,37.0,0.0,0.0,24.0
64,0068_01,793.0,0.0,2.0,253.0,0.0
65,0069_01,887.0,0.0,9.0,6.0,0.0
66,0070_01,190.0,0.0,5.0,1.0,726.0
67,0071_01,16.0,2165.0,0.0,0.0,52.0
68,0072_01,0.0,1.0,0.0,0.0,1063.0
69,0073_01,46.0,83.0,738.0,0.0,12.0
70,0074_01,1.0,8397.0,0.0,0.0,506.0
71,0076_01,147.0,0.0,1018.0,0.0,0.0
72,0077_01,14.0,0.0,1295.0,0.0,0.0
73,0078_01,0.0,5840.0,0.0,321.0,9654.0
74,0081_01,0.0,0.0,0.0,0.0,0.0
75,0082_01,7406.0,0.0,0.0,0.0,0.0
76,0082_02,0.0,0.0,0.0,0.0,0.0
77,0082_03,0.0,0.0,0.0,0.0,0.0
78,0084_01,688.0,0.0,0.0,0.0,17.0
79,0085_01,0.0,0.0,0.0,0.0,0.0
80,0086_01,211.0,0.0,0.0,638.0,513.0
81,0088_01,0.0,0.0,0.0,0.0,0.0
82,0090_01,0.0,0.0,0.0,0.0,0.0
83,0091_01,,0.0,0.0,0.0,0.0
84,0091_02,1.0,697.0,31.0,188.0,0.0
85,0092_01,0.0,0.0,670.0,1.0,34.0
86,0092_02,0.0,0.0,,0.0,0.0
87,0092_03,0.0,0.0,0.0,0.0,0.0
88,0097_01,0.0,1208.0,0.0,3.0,637.0
89,0098_01,0.0,856.0,5.0,32.0,0.0
90,0098_02,0.0,2811.0,957.0,0.0,87.0
91,0099_01,311.0,427.0,526.0,37.0,0.0
92,0099_02,0.0,0.0,0.0,0.0,0.0
93,0101_01,0.0,0.0,0.0,0.0,0.0
94,0102_01,0.0,0.0,0.0,830.0,91.0
95,0103_01,0.0,,0.0,0.0,17.0
96,0103_02,0.0,0.0,0.0,0.0,0.0
97,0103_03,0.0,0.0,0.0,0.0,0.0
98,0105_01,0.0,0.0,570.0,2.0,131.0
99,0107_01,1743.0,5.0,17.0,0.0,0.0
100,0108_01,0.0,0.0,0.0,0.0,0.0
101,0108_02,562.0,0.0,326.0,0.0,0.0
102,0108_03,0.0,0.0,0.0,0.0,0.0
103,0110_01,0.0,410.0,6.0,3929.0,764.0
