,Transported
0,False
1,True
2,True
3,True
4,True
5,True
6,False
7,False
8,False
9,False
10,False
11,True
12,True
13,True
14,False
15,True
16,True
17,False
18,True
19,False
20,False
21,True
22,True
23,False
24,True
25,True
26,False
27,False
28,True
29,False
30,False
31,False
32,True
33,False
34,False
35,True
36,False
37,True
38,True
39,False
40,False
41,True
42,True
43,False
44,False
45,True
46,True
47,True
48,True
49,True
50,True
51,True
52,False
53,True
54,True
55,False
56,True
57,False
58,False
59,False
60,True
61,False
62,False
63,False
64,True
65,True
66,True
67,True
68,True
69,False
70,False
71,True
72,True
73,False
74,True
75,True
76,True
77,False
78,True
79,True
80,False
81,True
82,False
83,True
84,True
85,True
86,False
87,False
88,False
89,True
90,False
91,True
92,False
93,True
94,True
95,True
96,True
97,False
98,False
99,False
100,False
101,True
102,False
103,True
104,False
105,True
106,False
107,True
108,True
109,False
110,False
111,True
112,False
113,False
114,True
115,False
116,True
117,True
118,False
119,True
120,False
121,False
122,True
123,True
124,False
125,False
126,True
127,False
128,True
129,False
130,True
131,False
132,True
133,True
134,False
135,False
136,True
137,True
138,True
139,False
140,True
141,False
142,True
143,False
144,False
145,False
146,True
147,True
148,True
149,False
150,False
151,False
152,True
153,True
154,True
155,False
156,False
157,True
158,True
159,False
160,False
161,False
162,True
163,True
164,True
165,False
166,True
167,False
168,True
169,True
170,True
171,True
172,True
173,True
174,True
175,False
176,True
177,True
178,False
179,True
180,True
181,True
182,False
183,False
184,False
185,True
186,True
187,False
188,False
189,False
190,False
191,True
192,True
193,True
194,False
195,True
196,True
197,False
198,True
199,False
200,True
201,True
202,True
203,True
204,True
205,True
206,True
207,True
208,True
209,False
210,False
211,False
212,False
213,True
214,True
215,False
216,True
217,True
218,False
219,False
220,True
221,True
222,False
223,True
224,True
225,False
226,False
227,True
228,False
229,True
230,True
231,True
232,True
233,True
234,True
235,False
236,False
237,False
238,True
239,False
240,True
241,False
242,True
243,False
244,False
245,False
246,True
247,False
248,False
249,False
250,False
251,False
252,False
253,False
254,True
255,False
256,False
257,True
258,False
259,True
260,True
261,True
262,True
263,False
264,False
265,True
266,False
267,True
268,False
269,False
270,True
271,False
272,False
273,True
274,False
275,False
276,False
277,True
278,True
279,False
280,True
281,True
282,True
283,False
284,False
285,False
286,False
287,True
288,True
289,True
290,False
291,False
292,False
293,True
294,True
295,True
296,False
297,True
298,False
299,True
300,True
301,True
302,True
303,False
304,False
305,True
306,True
307,True
308,False
309,True
310,False
311,True
312,True
313,False
314,True
315,True
316,True
317,False
318,False
319,False
320,True
321,True
322,False
323,True
324,False
325,True
326,True
327,False
328,False
329,False
330,True
331,True
332,False
333,False
334,True
335,False
336,True
337,True
338,False
339,True
340,False
341,False
342,True
343,False
344,False
345,False
346,True
347,True
348,False
349,False
350,False
351,False
352,True
353,True
354,False
355,True
356,False
357,False
358,True
359,False
360,False
361,False
362,True
363,True
364,True
365,True
366,True
367,False
368,False
369,True
370,True
371,False
372,False
373,False
374,False
375,True
376,False
377,True
378,False
379,False
380,True
381,False
382,True
383,False
384,True
385,False
386,True
387,True
388,True
389,False
390,True
391,True
392,True
393,True
394,False
395,True
396,False
397,True
398,False
399,True
400,True
401,False
402,False
403,True
404,True
405,False
406,False
407,True
408,True
409,True
410,True
411,True
412,True
413,True
414,False
415,True
416,False
417,False
418,True
419,False
420,True
421,False
422,False
423,False
424,False
425,True
426,True
427,False
428,False
429,False
430,True
431,False
432,False
433,True
434,False
435,True
436,True
437,False
438,False
439,True
440,True
441,True
442,True
443,True
444,True
445,False
446,True
447,True
448,True
449,True
450,False
451,False
452,False
453,True
454,False
455,False
456,False
457,True
458,False
459,False
460,True
461,True
462,True
463,False
464,True
465,True
466,True
467,True
468,True
469,True
470,True
471,True
472,False
473,True
474,False
475,True
476,True
477,False
478,False
479,True
480,True
481,False
482,True
483,True
484,True
485,False
486,False
487,False
488,True
489,False
490,True
491,False
492,True
493,False
494,False
495,True
496,True
497,False
498,True
499,False
500,True
501,False
502,False
503,True
504,True
505,False
506,False
507,True
508,False
509,True
510,False
511,True
512,False
513,True
514,False
515,True
516,True
517,True
518,True
519,False
520,False
521,False
522,False
523,False
524,False
525,True
526,False
527,True
528,False
529,False
530,True
531,True
532,True
533,False
534,True
535,False
536,False
537,True
538,False
539,True
540,False
541,True
542,True
