,PassengerId,Destination,VIP,Cabin,CryoSleep,Transported
0,0001_01,TRAPPIST-1e,False,B/0/P,False,False
1,0002_01,TRAPPIST-1e,False,F/0/S,False,True
2,0003_01,TRAPPIST-1e,True,A/0/S,False,False
3,0003_02,TRAPPIST-1e,False,A/0/S,False,False
4,0004_01,TRAPPIST-1e,False,F/1/S,False,True
5,0005_01,PSO J318.5-22,False,F/0/P,False,True
6,0006_01,TRAPPIST-1e,False,F/2/S,False,True
7,0006_02,TRAPPIST-1e,False,G/0/S,True,True
8,0007_01,TRAPPIST-1e,False,F/3/S,False,True
9,0008_01,55 Cancri e,False,B/1/P,True,True
10,0008_02,TRAPPIST-1e,False,B/1/P,True,True
11,0008_03,55 Cancri e,False,B/1/P,False,True
12,0009_01,TRAPPIST-1e,False,F/1/P,False,True
13,0010_01,TRAPPIST-1e,False,G/1/S,False,False
14,0011_01,TRAPPIST-1e,False,F/2/P,False,True
15,0012_01,TRAPPIST-1e,False,,False,False
16,0014_01,55 Cancri e,False,F/3/P,False,False
17,0015_01,55 Cancri e,False,F/4/P,False,False
18,0016_01,TRAPPIST-1e,False,F/5/P,True,True
19,0017_01,TRAPPIST-1e,False,G/0/P,False,True
20,0017_02,55 Cancri e,False,F/6/P,False,False
21,0020_01,TRAPPIST-1e,False,E/0/S,True,False
22,0020_02,55 Cancri e,False,E/0/S,True,False
23,0020_03,55 Cancri e,False,E/0/S,True,False
24,0020_04,TRAPPIST-1e,False,E/0/S,False,True
25,0020_05,PSO J318.5-22,False,E/0/S,True,False
26,0020_06,TRAPPIST-1e,False,E/0/S,False,False
27,0022_01,TRAPPIST-1e,False,D/0/P,False,False
28,0024_01,TRAPPIST-1e,False,C/2/S,True,True
29,0025_01,TRAPPIST-1e,False,F/6/S,False,False
30,0026_01,55 Cancri e,False,C/0/P,False,False
31,0028_01,TRAPPIST-1e,False,F/8/P,False,False
32,0030_01,TRAPPIST-1e,False,G/4/S,False,False
33,0031_01,TRAPPIST-1e,False,F/9/P,False,True
34,0031_02,TRAPPIST-1e,False,F/9/P,False,True
35,0031_03,TRAPPIST-1e,False,F/9/P,False,True
36,0034_01,55 Cancri e,False,D/1/S,True,True
37,0035_01,55 Cancri e,False,D/1/P,False,False
38,0036_01,55 Cancri e,,F/8/S,False,False
39,0038_01,55 Cancri e,False,F/10/S,False,False
40,0039_01,55 Cancri e,False,G/1/P,True,False
41,0041_01,TRAPPIST-1e,False,G/2/P,True,True
42,0043_01,TRAPPIST-1e,False,B/3/P,False,False
43,0044_01,TRAPPIST-1e,False,G/3/P,True,False
44,0044_02,55 Cancri e,False,G/3/P,True,True
45,0044_03,PSO J318.5-22,False,G/3/P,True,True
46,0045_01,TRAPPIST-1e,False,F/10/P,False,False
47,0045_02,,False,F/10/P,True,True
48,0050_01,55 Cancri e,False,E/1/S,False,False
49,0051_01,TRAPPIST-1e,False,E/2/S,False,False
50,0052_01,TRAPPIST-1e,False,G/6/S,False,False
51,0053_01,TRAPPIST-1e,False,F/11/S,False,True
52,0056_01,TRAPPIST-1e,False,A/1/S,False,True
53,0056_02,TRAPPIST-1e,False,A/1/S,True,True
54,0056_03,TRAPPIST-1e,False,A/1/S,False,True
55,0058_01,PSO J318.5-22,False,G/7/S,True,False
56,0061_01,TRAPPIST-1e,False,F/12/S,False,False
57,0062_01,TRAPPIST-1e,False,F/13/S,False,False
58,0064_01,TRAPPIST-1e,False,F/14/S,True,True
59,0064_02,TRAPPIST-1e,False,E/3/S,True,True
60,0066_01,TRAPPIST-1e,False,G/6/P,False,False
61,0067_01,PSO J318.5-22,False,G/10/S,True,True
62,0067_02,TRAPPIST-1e,False,G/10/S,False,True
63,0067_03,55 Cancri e,False,F/15/S,False,False
64,0068_01,TRAPPIST-1e,False,E/4/S,False,False
65,0069_01,TRAPPIST-1e,False,F/16/S,False,True
66,0070_01,TRAPPIST-1e,False,F/13/P,False,False
67,0071_01,TRAPPIST-1e,False,F/14/P,False,False
68,0072_01,TRAPPIST-1e,False,F/17/S,False,False
69,0073_01,PSO J318.5-22,False,D/3/P,False,False
70,0074_01,TRAPPIST-1e,False,C/3/S,False,True
71,0076_01,TRAPPIST-1e,False,F/18/S,False,True
72,0077_01,TRAPPIST-1e,False,F/15/P,False,True
73,0078_01,TRAPPIST-1e,False,C/4/S,False,False
74,0081_01,TRAPPIST-1e,False,G/13/S,True,False
75,0082_01,TRAPPIST-1e,False,F/16/P,False,False
76,0082_02,TRAPPIST-1e,False,F/16/P,True,True
77,0082_03,TRAPPIST-1e,False,F/16/P,False,True
78,0084_01,TRAPPIST-1e,False,G/14/S,False,True
79,0085_01,TRAPPIST-1e,False,C/5/S,True,True
